source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
hacom,apple,apple macbook pro 13,apple m2 8-core,n/a,16,n/a,512,ssd,yes,13.3,2560x1600,n/a,500,58.2,n/a,1.4,macos,12,40199000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook air,apple m2,n/a,8,n/a,512,ssd,no,13.6,n/a,n/a,n/a,n/a,n/a,n/a,macos,12,35499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,apple,apple macbook air,apple m2,n/a,8,n/a,512,ssd,no,13.6,n/a,n/a,n/a,n/a,n/a,n/a,macos,12,35499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,chuwi,chuwi gemibook,cpu intel celeron j4125,n/a,8,ddr4,256,ssd,yes,13.3,2160x1440,n/a,n/a,38.0,n/a,1.34,windows 10 home,3,5499000,n/a,n/a,n/a,0,0,0,0,0
hacom,asus,asus vivobook m3500qc-l1388w,amd ryzen 5 5600h,geforce rtx 3050 vram,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,400,63.0,3,1.6,windows,24,23999000,35.98,35.98,3.6,0,0,1,0,1
hacom,asus,asus vivobook m3500qc-l1327w,amd ryzen 7 5800h,geforce rtx 3050 vram,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,400,63.0,3,1.6,windows,24,24999000,35.98,35.98,3.6,0,0,1,0,1
hacom,lenovo,lenovo ideapad slim 5 pro 14acn6,amd ryzen 5 5600u,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,90,400,56.5,n/a,1.38,windows 11 home,36,19999000,31.22,31.22,3.12,4,4,1,0,0
hacom,lenovo,lenovo ideapad slim 5 pro 14acn6,amd ryzen 7 5800u,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,90,400,56.5,n/a,1.38,windows 11 home,36,20999000,31.22,31.22,3.12,4,4,1,0,0
hacom,lenovo,lenovo yoga slim 7 carbon 14acn6,amd ryzen 7 5800u,geforce mx450,16,ddr4,1024,ssd,yes,14.0,2880x1800,90,400,61.0,n/a,1.1,windows 11 home,36,31999000,31.3,31.3,3.13,0,1,0,0,0
hacom,microsoft,microsoft surface pro 8,intel core i5-1135g,n/a,16,n/a,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,35999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i5-1135g,n/a,16,n/a,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,35999000,28.7,28.7,28.7,0,2,0,0,1
hacom,hp,hp pavilion 15-eg0539tu,intel core i5-1135g,n/a,8,n/a,512,ssd,no,15.6,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,16999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp 240 g8,intel core i3-1005g,n/a,4,n/a,512,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,13999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp 240 g8,intel core i5-1135g,n/a,8,n/a,512,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,19499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,asus,asus expertbook b5302cea-kg0493w,intel core i5-1135g,n/a,8,ddr4,512,ssd,yes,13.3,1920x1080,n/a,400,66.0,4,1.2,windows 11 home,24,20999000,30.9,30.9,3.09,0,1,1,0,1
hacom,hp,hp 245 g8,amd ryzen 5 5500u,n/a,4,ddr4,256,ssd,yes,14.0,n/a,n/a,n/a,41.0,3,n/a,windows 10 home,12,14999000,32.4,22.59,1.4,0,0,0,0,0
hacom,hp,hp pavilion 15-eg0506tx,intel core i5-1135g,mx450,8,n/a,512,ssd,no,15.6,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,19999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp pavilion 15-eg0541tu,intel core i3-1125g,n/a,4,n/a,512,ssd,no,15.6,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,15599000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp pavilion 15-eg0073tu,intel core i3-1115g,n/a,4,n/a,512,ssd,no,15.6,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,15799000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp probook 445 g6 6xp98pa,amd ryzen 5 2500u,n/a,4,ddr4,1024,n/a,yes,14.0,1920x1080,n/a,n/a,45.0,3,1.6,n/a,12,14139000,32.4,32.4,3.24,0,0,1,0,1
hacom,hp,hp 15s-fq2602tu,intel core i5-1135g,n/a,8,n/a,256,ssd,no,15.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,17499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp 250 g8,intel core i3-1005g,n/a,4,n/a,256,ssd,no,15.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,13999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp pavilion 14-dv0520tu,intel core i3-1125g,n/a,4,n/a,256,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,n/a,windows,12,15499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp probook 430 g8,intel core i5-1135g,n/a,8,ddr4,512,ssd,yes,13.3,1920x1080,60,n/a,45.0,3,1.255,linux,12,20199000,30.69,30.69,3.07,0,0,1,0,1
hacom,hp,hp probook 430 g8,intel core i5-1135g,n/a,8,ddr4,256,ssd,yes,13.3,1920x1080,60,n/a,45.0,3,1.255,linux,12,19399000,30.69,30.69,3.07,0,0,1,0,1
hacom,hp,hp probook 430 g8,intel core i5-1135g,n/a,4,ddr4,256,ssd,yes,13.3,1920x1080,60,n/a,45.0,3,1.255,windows 10 home,12,18989000,30.69,30.69,3.07,0,0,1,0,1
hacom,hp,hp probook 430 g8,intel core i5-1135g,n/a,4,ddr4,256,ssd,yes,13.3,1920x1080,60,n/a,45.0,3,1.255,n/a,12,18689000,30.69,30.69,3.07,0,0,1,0,1
hacom,hp,hp probook 430 g8,intel core i5-1135g,n/a,8,ddr4,256,ssd,yes,13.3,1920x1080,60,n/a,45.0,3,1.263,windows 10 home,12,20199000,30.69,30.69,3.07,0,0,1,0,1
hacom,hp,hp probook 430 g8,intel core i5-1135g,n/a,4,ddr4,512,ssd,yes,13.3,1920x1080,60,n/a,45.0,3,1.264,windows 10 home,12,19899000,30.69,30.69,3.07,0,0,1,0,1
hacom,hp,hp probook 440 g8,intel core i5-1135g,n/a,8,n/a,256,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,19399000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp probook 450 g6 8az17pa,intel core i5-8265u,n/a,8,ddr4,256,ssd,yes,15.6,1920x1080,n/a,n/a,45.0,3,1.85,n/a,12,18079000,32.4,32.4,3.24,0,0,1,0,1
hacom,hp,hp probook 450 g6,intel core i7-8565u,n/a,8,ddr4,1024,n/a,yes,15.6,1920x1080,n/a,n/a,45.0,3,2.0,linux,12,23739000,36.49,36.49,3.65,0,0,1,1,0
hacom,hp,hp probook 440 g6,intel core i7-8565u,n/a,8,ddr4,1024,hdd,yes,14.0,1920x1080,n/a,n/a,45.0,3,1.6,linux,12,19189000,32.42,32.42,3.24,0,0,1,1,0
hacom,hp,hp probook 450 g8,intel core i5-1135g,n/a,8,ddr4,256,ssd,yes,15.6,1920x1080,60,n/a,45.0,3,1.683,windows 10 home,12,21999000,35.94,35.94,3.59,0,0,1,0,1
hacom,hp,hp pavilion x360 14-dw1019tu,intel core i7-1165g,n/a,4,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,43.3,3,1.65,windows 10 home,12,23229000,32.4,32.4,3.24,0,0,1,0,1
hacom,hp,hp probook 440 g6 8az16pa,intel core i5-8265u,n/a,8,ddr4,256,ssd,yes,14.0,1920x1080,n/a,n/a,45.0,3,1.6,n/a,12,18079000,32.4,32.4,3.24,0,0,1,0,1
hacom,hp,hp 240 g8,intel core i5-1135g,n/a,4,n/a,256,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,15959000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
