source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
fpt,asus,asus tuf gaming fa506nfr-hn006w,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus vivobook e1404fa-nk186w,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,acer,acer aspire 3 a315-44p-r5qg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus vivobook x1504za-nj1039w,intel core i7-1255u,n/a,16,ddr4,16,ssd,hd,15.6,1920x1080,60,250,42.0,42 whrs,1.7,windows 11 home,aaaaaaaaaaa,n/a,35.97,23.25,1.56,2,1,1,0,0
fpt,hp,hp 15s-fq5231tu,intel core i3-1215u,n/a,8,ddr4,8,ssd,hd,15.6,1920x1080,60,n/a,41.0,41 wh,1.69,windows 11 home,aaaaaaaaaaa,n/a,35.85,24.2,1.56,2,1,1,0,0
fpt,acer,acer aspire go ag15-31p-32u6,intel core i3 n305,n/a,8,ddr5,8,ssd,hd,15.6,1920x1080,60,n/a,57.0,57 wh,1.75,windows 11 home,aaaaaaaaaaa,n/a,36.29,23.97,1.56,2,1,1,0,0
fpt,msi,msi gaming thin a15 b7ucx-240vn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi gaming thin15 b13uc-2044vn,intel core i7-13620h,geforce rtx 3050,16,ddr4,16,ssd,hd,15.6,1920x1200,144,n/a,52.4,52.4 wh,1.86,windows 11 home,aaaaaaaaaaa,n/a,35.9,25.4,1.56,3,1,1,1,0
fpt,hp,hp pavilion 15-eg3112tu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,dell,"dell inspiron 14 n5440 i5 1334u/16gb/512gb/14""fhd+/win11/office",intel core i5-1334u,n/a,16,ddr5,16,ssd,hd,14.0,1920x1200,60,250,3 cell,3,1.54,windows 11 home,aaaaaaaaaaa,n/a,31.4,22.62,1.4,2,1,1,0,1
fpt,acer,acer nitro 5 tiger gaming an515-58-52sp,intel core i5-12500h,geforce rtx 3050,8,ddr4,8,ssd,hd,15.6,1920x1080,144,n/a,4 cell,4,2.5,windows 11 home,aaaaaaaaaaa,n/a,36.04,27.11,1.56,3,1,1,0,0
fpt,acer,acer nitro 16 phoenix gaming an16-41-r50z,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus vivobook x1404za-nk387w,intel core i3-1215u,n/a,8,ddr4,8,ssd,hd,14.0,1920x1080,60,n/a,42.0,42 wh,1.4,windows 11 home,aaaaaaaaaaa,n/a,32.49,21.39,1.4,2,1,1,0,0
fpt,hp,hp 14s-em0078au,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus gaming vivobook k3605zc-rp564w,intel core i5-12500,geforce rtx 3050,16,ddr4,16,ssd,hd,16.0,1920x1200,144,300,50.0,50 whr,1.8,windows,aaaaaaaaaaa,n/a,35.86,24.91,1.6,2,1,1,0,0
fpt,dell,"dell vostro v3520 i5-1235u/16gb/512gb/15.6""fhd/win11/office",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
