laptop_specs_brand,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_avg_g3d_mark,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute,category,screen_area,screen_ratio
0,32.0,1,1024.0,2,1,14.5,120.0,400.0,76.0,4.0,1.5,6,12.0,53990000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,19567.0,222.0,118.0,178.0,85.0,8362.0,1,5184000,1.6
8,16.0,1,512.0,2,1,14.0,144.0,300.0,45.0,4.0,1.4,6,24.0,21490000,31.35,22.4,1.69,0.0,1.0,1.0,0.0,0.0,17450,3322,57620,41863,63,21428,12402,197964,1113,11394,3322,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
2,16.0,1,512.0,2,1,15.6,144.0,250.0,48.0,3.0,2.3,6,24.0,17990000,35.9,25.6,2.45,0.0,1.0,1.0,0.0,0.0,23962,3225,87461,49983,56,32387,19230,318531,1010,22303,3225,7671.0,105.0,39.0,48.0,41.0,3467.0,1,2073600,1.7777777777777777
5,16.0,0,512.0,2,1,14.0,60.0,350.0,43.0,3.0,1.5,-1,12.0,23490000,32.2,21.0,1.99,0.0,1.0,1.0,0.0,0.0,16587,3761,58212,40035,61,20789,11586,183090,1019,10085,3761,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
3,8.0,0,1024.0,2,1,15.6,120.0,250.0,54.0,4.0,1.66,6,12.0,21990000,35.85,23.56,1.9,0.0,1.0,1.0,0.0,0.0,14828,3504,54333,36303,56,18079,10171,160029,935,8891,3504,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
0,16.0,1,512.0,2,1,15.6,180.0,300.0,57.0,4.0,2.1,6,12.0,26790000,36.23,23.99,2.69,0.0,3.0,1.0,0.0,0.0,24850,3689,84451,62278,100,29800,16091,290251,1678,18001,3689,9458.0,118.0,55.0,73.0,45.0,3865.0,1,2073600,1.7777777777777777
8,12.0,1,512.0,2,1,15.6,144.0,300.0,60.0,4.0,2.4,6,24.0,30490000,35.99,25.87,2.39,0.0,1.0,1.0,0.0,0.0,31424,3815,105161,77290,103,41975,22302,396717,1754,23899,3815,14428.0,186.0,81.0,131.0,61.0,5939.0,1,2073600,1.7777777777777777
8,12.0,1,512.0,2,1,15.6,144.0,300.0,60.0,3.0,2.3,6,24.0,34990000,35.88,26.14,2.46,0.0,2.0,1.0,0.0,0.0,31424,3815,105161,77290,103,41975,22302,396717,1754,23899,3815,17662.0,218.0,110.0,159.0,73.0,6828.0,1,2073600,1.7777777777777777
0,32.0,1,1024.0,2,1,14.5,120.0,400.0,76.0,4.0,1.5,6,12.0,44990000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,14428.0,186.0,81.0,131.0,61.0,5939.0,1,5184000,1.6
0,16.0,1,1024.0,2,1,16.0,240.0,500.0,90.0,4.0,2.8,6,12.0,46990000,35.78,27.86,2.79,0.0,3.0,1.0,0.0,0.0,36550,3993,129038,93326,166,45944,25499,438104,2408,26361,3993,17662.0,218.0,110.0,159.0,73.0,6828.0,1,4096000,1.6
2,16.0,1,1024.0,2,1,16.0,240.0,500.0,90.0,4.0,2.0,6,24.0,51790000,35.5,24.3,2.19,0.0,1.0,1.0,0.0,0.0,28701,3842,100655,72169,108,36868,19788,339431,1809,20041,3842,17662.0,218.0,110.0,159.0,73.0,6828.0,1,4096000,1.6
5,16.0,0,512.0,2,1,15.6,144.0,250.0,52.0,3.0,2.2,6,12.0,18990000,35.8,25.5,2.35,0.0,1.0,1.0,0.0,0.0,16999,3379,56563,42183,47,21668,11418,205799,920,12638,3379,7671.0,105.0,39.0,48.0,41.0,3467.0,1,2073600,1.7777777777777777
12,16.0,1,1024.0,2,1,14.0,60.0,400.0,90.0,4.0,1.7,6,24.0,32990000,31.34,24.65,1.9,0.0,2.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,14428.0,186.0,81.0,131.0,61.0,5939.0,1,5184000,1.6
5,16.0,0,512.0,2,1,14.0,180.0,350.0,51.0,3.0,1.3,6,12.0,21590000,32.19,21.39,1.99,0.0,2.0,1.0,0.0,0.0,18765,3509,69665,48184,59,23692,12870,215761,1083,12411,3509,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
3,8.0,0,512.0,2,1,15.6,120.0,250.0,41.0,3.0,1.9,6,12.0,16490000,35.85,23.56,1.9,2.0,0.0,1.0,0.0,0.0,13218,3259,49703,34654,38,16545,9268,149807,694,8572,3259,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
8,12.0,1,512.0,2,1,15.6,144.0,300.0,60.0,3.0,2.4,6,24.0,20990000,35.99,25.87,2.39,0.0,1.0,1.0,0.0,0.0,11580,2723,38593,21974,29,14058,8559,144377,533,10508,2723,9458.0,118.0,55.0,73.0,45.0,3865.0,1,2073600,1.7777777777777777
8,12.0,1,512.0,2,1,15.6,144.0,300.0,60.0,4.0,2.4,6,24.0,24490000,35.99,25.87,2.39,0.0,1.0,1.0,0.0,0.0,18668,3397,57737,43531,58,23245,12258,222404,1183,13985,3397,14428.0,186.0,81.0,131.0,61.0,5939.0,1,2073600,1.7777777777777777
8,12.0,1,512.0,2,1,15.6,144.0,300.0,60.0,4.0,2.4,6,24.0,32990000,35.99,25.87,2.39,0.0,1.0,1.0,0.0,0.0,31424,3815,105161,77290,103,41975,22302,396717,1754,23899,3815,17662.0,218.0,110.0,159.0,73.0,6828.0,1,2073600,1.7777777777777777
8,16.0,1,512.0,2,1,16.0,165.0,350.0,80.0,3.0,2.3,6,24.0,38990000,35.97,26.05,2.19,0.0,2.0,1.0,0.0,0.0,28820,3770,99823,60655,87,40633,20762,351350,1350,26137,3770,17662.0,218.0,110.0,159.0,73.0,6828.0,1,4096000,1.6
0,8.0,0,512.0,2,1,15.6,144.0,250.0,57.0,4.0,2.5,6,12.0,21490000,36.04,27.11,2.59,0.0,1.0,1.0,0.0,0.0,26121,3581,92015,66386,95,34092,17960,306814,1535,18222,3581,10143.0,120.0,60.0,77.0,49.0,4330.0,1,2073600,1.7777777777777777
2,16.0,1,1024.0,2,1,15.6,144.0,250.0,90.0,4.0,2.2,6,24.0,30990000,35.4,25.1,2.49,0.0,1.0,1.0,0.0,0.0,24850,3689,84451,62278,100,29800,16091,290251,1678,18001,3689,17662.0,218.0,110.0,159.0,73.0,6828.0,1,2073600,1.7777777777777777
2,16.0,0,512.0,2,1,15.6,120.0,600.0,50.0,3.0,1.7,6,24.0,18990000,35.68,22.76,1.99,0.0,1.0,1.0,0.0,0.0,22701,3536,76906,55639,77,29549,15984,273500,1339,15980,3536,0.0,0.0,0.0,0.0,0.0,0.0,1,4665600,1.7777777777777777
12,8.0,0,512.0,2,1,15.6,144.0,350.0,52.0,3.0,1.8,6,24.0,16990000,35.9,25.4,2.17,0.0,1.0,1.0,0.0,0.0,18351,3454,60332,44607,54,22863,12242,223438,1061,13756,3454,7671.0,105.0,39.0,48.0,41.0,3467.0,1,2073600,1.7777777777777777
8,16.0,1,512.0,2,1,16.0,180.0,300.0,47.0,3.0,1.8,6,24.0,27990000,35.61,24.77,1.99,0.0,1.0,1.0,0.0,0.0,16781,3445,59322,41990,64,19837,11808,182864,1110,10307,3445,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
12,8.0,1,512.0,2,1,14.0,120.0,400.0,53.0,3.0,1.6,6,24.0,26490000,31.47,23.35,2.23,0.0,1.0,1.0,0.0,0.0,24850,3689,84451,62278,100,29800,16091,290251,1678,18001,3689,14428.0,186.0,81.0,131.0,61.0,5939.0,1,2304000,1.6
8,16.0,1,512.0,2,1,14.0,60.0,300.0,47.0,3.0,1.4,6,24.0,22390000,31.3,21.93,1.8,0.0,1.0,1.0,0.0,0.0,17450,3322,57620,41863,63,21428,12402,197964,1113,11394,3322,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
0,8.0,1,512.0,2,1,14.0,144.0,300.0,58.0,3.0,1.3,6,12.0,18590000,31.44,22.19,1.75,0.0,1.0,1.0,0.0,0.0,22301,3501,72517,53887,90,29005,15271,253186,1541,14647,3501,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
8,16.0,0,512.0,2,1,14.0,144.0,300.0,47.0,3.0,1.4,6,24.0,20490000,31.3,21.93,1.8,0.0,1.0,1.0,0.0,0.0,18351,3454,60332,44607,54,22863,12242,223438,1061,13756,3454,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
5,16.0,0,512.0,2,1,15.6,90.0,250.0,51.0,3.0,1.8,6,12.0,20990000,35.94,23.39,1.99,0.0,2.0,1.0,0.0,0.0,18765,3509,69665,48184,59,23692,12870,215761,1083,12411,3509,0.0,0.0,0.0,0.0,0.0,0.0,1,2073600,1.7777777777777777
